Name	Location	Nameplate capacity (MW)	Turbines	2016NetGeneration	Operator	Opened
AgriWind Project	Tiskilwa	8.4	4	5,891	Exelon	2008
Mendota Hills Wind Farm	Paw Paw	29	76	82,357	Leeward Renewable Energy	2003
Shady Oaks	Compton	110	71	323,948	Liberty Power	2012
Bishop Hill I	Henry County	211	98	601,090	Invenergy	2012
Bishop Hill II	Henry County	81	50	282,278	Invenergy	2012
Bishop Hill III	Henry County	132	53		Invenergy	2018
Brown County Wind Turbine	Brown County	1.5	1	2,983	Adams Electric Cooperative	2014
Minonk Wind Farm	Minonk	200	100	636,089	Liberty Power	2012
Crescent Ridge Wind Farm	Bureau County	54	33	146,775	Leeward Renewable Energy	2005
GSG Wind Farm	Compton	80	40	198,797	Infigen Energy	2007
Camp Grove Wind Farm	Camp Grove	150	100	405,676	Orion Renewables	2007
California Ridge	Champaign County	217	134	732,885	Invenergy	2012
Twin Groves Wind Farm	McLean County	198	120		EDP Renewables North America	2007
Twin Groves Wind Farm II	McLean County	198	120		EDP Renewables North America	2007
Geneseo	Geneseo	3	2	6,574	City of Geneseo	2009
Grand Ridge Wind Farm I-IV	Marseilles	210	140	732,885	Invenergy	2009
Pilot Hill	Kankakee County, Iroquois County	175	101	573,434	EDF Energy	2015
Kelly Creek	Kankakee County, Ford County	184	92	82,646	EDF Energy	2016
Providence Heights Wind Farm	Bureau County	72	36	169,679	Iberdrola Renewables	2008
EcoGrove Wind Farm	Stephenson County	100	67	250,936	Acciona	2009
Heartland Community College	Normal	1.65	1	4,741	Heartland Community College	2012
Pike County Wind Power	Pike County	1.65	1	3,216	Illinois Rural Electric Cooperative	2005
Rail Splitter Wind Farm	Logan County, Tazewell County	100	67	280,646	EDP Renewables North America	2009
Lee-Dekalb Wind Energy Center	Lee County, DeKalb County	217	145		NextEra Energy Resources	2009
Radford's Run Wind Farm	Macon County	306	139		E.ON	2018
Streator Cayuga Ridge South Wind Farm	Livingston County	300	150	752,101	Iberdrola Renewables	2010
Top Crop I	Grundy County, LaSalle County	102	68	263,021	EDP Renewables North America	2009
Top Crop II	Grundy County, LaSalle County	198	132	489,941	EDP Renewables North America	2009
White Oak Wind Farm	McLean County	150	100	423,580	NextEra Energy Resources	2011
Big Sky Wind Farm	Bureau County, Lee County	240	114	522,333	EverPower	2011
Green River	Whiteside County, Lee County	194	74		Geronimo Energy	2019
Pioneer Trail Wind Farm	Ford County, Iroquois County	150	94	429,410	E.ON	2011
Settlers Trail Wind Farm	Iroquois County	150	94	380,904	E.ON	2013
Walnut Ridge	Bureau County	212	106		Berkshire Hathaway Energy	2018
Bright Stalk Wind Farm	McLean County	205	57		EDP Renewables North America	2019
Harvest Ridge Wind Farm	Douglas County	200	48		EDP Renewables North America	2020
Cardinal Point Wind	McDonough County, Warren County	150	60		Capital Power Corporation	2020
Hilltopper	Logan County	185	74		Enel	2018
