
name_raw	vote
Sen. Anderson, Neil [R]	Yea
Sen. Aquino, Omar [D]	Yea
Sen. Bailey, Darren [R]	Yea
Sen. Barickman, Jason [R]	NV
Sen. Belt, Christopher [D]	Yea
Sen. Bennett, Scott M. [D]	Yea
Sen. Bryant, Terri [R]	Yea
Sen. Bush, Melinda "Willen" [D]	Yea
Sen. Castro, Cristina [D]	Yea
Sen. Collins, Jacqueline "Jacqui" Y. [D]	Yea
Sen. Connor, John [D]	Yea
Sen. Crowe, Rachelle Aud [D]	Yea
Sen. Cullerton, Thomas E. [D]	Yea
Sen. Cunningham, William "Bill" [D]	Yea
Sen. Curran, John F. [R]	Yea
Sen. DeWitte, Donald "Don" P. [R]	Yea
Sen. Ellman, Laura [D]	Yea
Sen. Feigenholtz, Sara [D]	Yea
Sen. Fine, Laura [D]	Yea
Sen. Fowler, Dale [R]	Yea
Sen. Gillespie, Ann [D]	Yea
Sen. Glowiak, Suzanne "Suzy" [D]	Yea
Sen. Harmon, Don [D]	Yea
Sen. Harris III, Napoleon [D]	Yea
Sen. Hastings, Michael E. [D]	Yea
Sen. Holmes, Linda [D]	Yea
Sen. Hunter, Mattie [D]	Yea
Sen. Johnson, Adriane [D]	Yea
Sen. Jones III, Emil [D]	Yea
Sen. Joyce, Patrick J. [D]	Yea
Sen. Koehler, David [D]	Yea
Sen. Landek, Steven M. [D]	Yea
Sen. Lightford, Kimberly A. [D]	Yea
Sen. Loughran Cappel, Meg [D]	Yea
Sen. Martwick Jr., Robert F. [D]	Yea
Sen. McClure, Steve [R]	Yea
Sen. McConchie, Dan [R]	Yea
Sen. Morrison, Julie A. [D]	Yea
Sen. Munoz, Antonio "Tony" [D]	Yea
Sen. Murphy, Laura M. [D]	Yea
Sen. Pacione-Zayas, Cristina H. [D]	Yea
Sen. Peters, Robert [D]	Yea
Sen. Plummer, Jason [R]	Yea
Sen. Rezin, Susan "Sue" [R]	Yea
Sen. Rose, Chapin [R]	Yea
Sen. Simmons, Mike [D]	Yea
Sen. Sims Jr., Elgie R. [D]	Yea
Sen. Stadelman, Steve [D]	Yea
Sen. Stewart, Brian W. [R]	Yea
Sen. Stoller, Win [R]	Yea
Sen. Syverson, Dave [R]	Yea
Sen. Tracy, Jil Walker [R]	Yea
Sen. Turner, Doris [D]	Yea
Sen. Turner, Sally J. [R]	Yea
Sen. Vanpelt-Watkins, Patricia [D]	Yea
Sen. Villa, Karina [D]	Yea
Sen. Villanueva, Celina [D]	Yea
Sen. Villivalam, Ram [D]	Yea
Sen. Wilcox, Craig [R]	Yea
