name	party	district	label
Carol Ammons	D	103	Carol Ammons (103, D)
Jaime M. Andrade, Jr.	D	40	Jaime M. Andrade, Jr. (40, D)
Dagmara Avelar	D	85	Dagmara Avelar (85, D)
Mark Batinick	R	97	Mark Batinick (97, R)
Thomas M. Bennett	R	106	Thomas M. Bennett (106, R)
Chris Bos	R	51	Chris Bos (51, R)
Avery Bourne	R	95	Avery Bourne (95, R)
Dan Brady	R	105	Dan Brady (105, R)
Kambium Buckner	D	26	Kambium Buckner (26, D)
Kelly M. Burke	D	36	Kelly M. Burke (36, D)
Tim Butler	R	87	Tim Butler (87, R)
Jonathan Carroll	D	57	Jonathan Carroll (57, D)
Kelly M. Cassidy	D	14	Kelly M. Cassidy (14, D)
Dan Caulkins	R	101	Dan Caulkins (101, R)
Andrew S. Chesney	R	89	Andrew S. Chesney (89, R)
Lakesia Collins	D	9	Lakesia Collins (9, D)
Deb Conroy	D	46	Deb Conroy (46, D)
Terra Costa Howard	D	48	Terra Costa Howard (48, D)
Fred Crespo	D	44	Fred Crespo (44, D)
Margaret Croke	D	12	Margaret Croke (12, D)
C.D. Davidsmeyer	R	100	C.D. Davidsmeyer (100, R)
William Davis	D	30	William Davis (30, D)
Eva Dina Delgado	D	3	Eva Dina Delgado (3, D)
Anthony DeLuca	D	80	Anthony DeLuca (80, D)
Tom Demmer	R	90	Tom Demmer (90, R)
Daniel Didech	D	59	Daniel Didech (59, D)
Jim Durkin	R	82	Jim Durkin (82, R)
Amy Elik	R	111	Amy Elik (111, R)
Marcus C. Evans, Jr.	D	33	Marcus C. Evans, Jr. (33, D)
Mary E. Flowers	D	31	Mary E. Flowers (31, D)
La Shawn K. Ford	D	8	La Shawn K. Ford (8, D)
Randy E. Frese	R	94	Randy E. Frese (94, R)
David Friess	R	116	David Friess (116, R)
Robyn Gabel	D	18	Robyn Gabel (18, D)
Jennifer Gong-Gershowitz	D	17	Jennifer Gong-Gershowitz (17, D)
Edgar Gonzalez, Jr.	D	21	Edgar Gonzalez, Jr. (21, D)
Jehan Gordon-Booth	D	92	Jehan Gordon-Booth (92, D)
Amy Grant	R	42	Amy Grant (42, R)
LaToya Greenwood	D	114	LaToya Greenwood (114, D)
Angelica Guerrero-Cuellar	D	22	Angelica Guerrero-Cuellar (22, D)
Will Guzzardi	D	39	Will Guzzardi (39, D)
Jackie Haas	R	79	Jackie Haas (79, R)
Brad Halbrook	R	102	Brad Halbrook (102, R)
Michael Halpin	D	72	Michael Halpin (72, D)
Sandra Hamilton	R	99	Sandra Hamilton (99, R)
Norine K. Hammond	R	93	Norine K. Hammond (93, R)
Sonya M. Harper	D	6	Sonya M. Harper (6, D)
Greg Harris	D	13	Greg Harris (13, D)
Barbara Hernandez	D	83	Barbara Hernandez (83, D)
Elizabeth Hernandez	D	24	Elizabeth Hernandez (24, D)
Maura Hirschauer	D	49	Maura Hirschauer (49, D)
Jay Hoffman	D	113	Jay Hoffman (113, D)
Frances Ann Hurley	D	35	Frances Ann Hurley (35, D)
Paul Jacobs	R	115	Paul Jacobs (115, R)
Thaddeus Jones	D	29	Thaddeus Jones (29, D)
Jeff Keicher	R	70	Jeff Keicher (70, R)
Michael Kelly	D	15	Michael Kelly (15, D)
Stephanie A. Kifowit	D	84	Stephanie A. Kifowit (84, D)
Lindsey LaPointe	D	19	Lindsey LaPointe (19, D)
Seth Lewis	R	45	Seth Lewis (45, R)
Camille Y. Lilly	D	78	Camille Y. Lilly (78, D)
Mark Luft	R	91	Mark Luft (91, R)
Theresa Mah	D	2	Theresa Mah (2, D)
Natalie A. Manley	D	98	Natalie A. Manley (98, D)
Michael T. Marron	R	104	Michael T. Marron (104, R)
Joyce Mason	D	61	Joyce Mason (61, D)
Rita Mayfield	D	60	Rita Mayfield (60, D)
Deanne M. Mazzochi	R	47	Deanne M. Mazzochi (47, R)
Tony McCombie	R	71	Tony McCombie (71, R)
Martin McLaughlin	R	52	Martin McLaughlin (52, R)
Charles Meier	R	108	Charles Meier (108, R)
Debbie Meyers-Martin	D	38	Debbie Meyers-Martin (38, D)
Chris Miller	R	110	Chris Miller (110, R)
Anna Moeller	D	43	Anna Moeller (43, D)
Bob Morgan	D	58	Bob Morgan (58, D)
Thomas Morrison	R	54	Thomas Morrison (54, R)
Martin J. Moylan	D	55	Martin J. Moylan (55, D)
Michelle Mussman	D	56	Michelle Mussman (56, D)
Suzanne Ness	D	66	Suzanne Ness (66, D)
Cyril Nichols	D	32	Cyril Nichols (32, D)
Adam Niemerg	R	109	Adam Niemerg (109, R)
Aaron M. Ortiz	D	1	Aaron M. Ortiz (1, D)
Tim Ozinga	R	37	Tim Ozinga (37, R)
Delia C. Ramirez	D	4	Delia C. Ramirez (4, D)
Steven Reick	R	63	Steven Reick (63, R)
Robert Rita	D	28	Robert Rita (28, D)
Lamont J. Robinson, Jr.	D	5	Lamont J. Robinson, Jr. (5, D)
Sue Scherer	D	96	Sue Scherer (96, D)
Dave Severin	R	117	Dave Severin (117, R)
Justin Slaughter	D	27	Justin Slaughter (27, D)
Nicholas K. Smith	D	34	Nicholas K. Smith (34, D)
Keith P. Sommer	R	88	Keith P. Sommer (88, R)
Joe Sosnowski	R	69	Joe Sosnowski (69, R)
Ryan Spain	R	73	Ryan Spain (73, R)
Anne Stava-Murray	D	81	Anne Stava-Murray (81, D)
Bradley Stephens	R	20	Bradley Stephens (20, R)
Denyse Wang Stoneback	D	16	Denyse Wang Stoneback (16, D)
Katie Stuart	D	112	Katie Stuart (112, D)
Daniel Swanson	R	74	Daniel Swanson (74, R)
Curtis J. Tarver, II	D	25	Curtis J. Tarver, II (25, D)
Dan Ugaste	R	65	Dan Ugaste (65, R)
Dave Vella	D	68	Dave Vella (68, D)
Mark L. Walker	D	53	Mark L. Walker (53, D)
Lawrence Walsh, Jr.	D	86	Lawrence Walsh, Jr. (86, D)
Tom Weber	R	64	Tom Weber (64, R)
Emanuel Chris Welch	D	7	Emanuel Chris Welch (7, D)
David A. Welter	R	75	David A. Welter (75, R)
Maurice A. West, II	D	67	Maurice A. West, II (67, D)
Keith R. Wheeler	R	50	Keith R. Wheeler (50, R)
Blaine Wilhour	R	107	Blaine Wilhour (107, R)
Ann M. Williams	D	11	Ann M. Williams (11, D)
Jawaharial Williams	D	10	Jawaharial Williams (10, D)
Kathleen Willis	D	77	Kathleen Willis (77, D)
Patrick Windhorst	R	118	Patrick Windhorst (118, R)
Janet Yang Rohr	D	41	Janet Yang Rohr (41, D)
Lance Yednock	D	76	Lance Yednock (76, D)
Sam Yingling	D	62	Sam Yingling (62, D)
Michael J. Zalewski	D	23	Michael J. Zalewski (23, D)
