name	party	district	label
Neil Anderson	R	36	Neil Anderson (36, R)
Omar Aquino	D	2	Omar Aquino (2, D)
Darren Bailey	R	55	Darren Bailey (55, R)
Jason A. Barickman	R	53	Jason A. Barickman (53, R)
Christopher Belt	D	57	Christopher Belt (57, D)
Scott M. Bennett	D	52	Scott M. Bennett (52, D)
Terri Bryant	R	58	Terri Bryant (58, R)
Melinda Bush	D	31	Melinda Bush (31, D)
Cristina Castro	D	22	Cristina Castro (22, D)
Jacqueline Y. Collins	D	16	Jacqueline Y. Collins (16, D)
Bill Cunningham	D	18	Bill Cunningham (18, D)
John F. Curran	R	41	John F. Curran (41, R)
Donald P. DeWitte	R	33	Donald P. DeWitte (33, R)
Laura Ellman	D	21	Laura Ellman (21, D)
Sara Feigenholtz	D	6	Sara Feigenholtz (6, D)
Laura Fine	D	9	Laura Fine (9, D)
Dale Fowler	R	59	Dale Fowler (59, R)
Ann Gillespie	D	27	Ann Gillespie (27, D)
Suzy Glowiak Hilton	D	24	Suzy Glowiak Hilton (24, D)
Don Harmon	D	39	Don Harmon (39, D)
Napoleon Harris, III	D	15	Napoleon Harris, III (15, D)
Michael E. Hastings	D	19	Michael E. Hastings (19, D)
Linda Holmes	D	42	Linda Holmes (42, D)
Mattie Hunter	D	3	Mattie Hunter (3, D)
Adriane Johnson	D	30	Adriane Johnson (30, D)
Emil Jones, III	D	14	Emil Jones, III (14, D)
Patrick J. Joyce	D	40	Patrick J. Joyce (40, D)
David Koehler	D	46	David Koehler (46, D)
Steven M. Landek	D	12	Steven M. Landek (12, D)
Kimberly A. Lightford	D	4	Kimberly A. Lightford (4, D)
Meg Loughran Cappel	D	49	Meg Loughran Cappel (49, D)
Robert F. Martwick	D	10	Robert F. Martwick (10, D)
Eric Mattson	D	43	Eric Mattson (43, D)
Steve McClure	R	50	Steve McClure (50, R)
Dan McConchie	R	26	Dan McConchie (26, R)
Julie A. Morrison	D	29	Julie A. Morrison (29, D)
Antonio Muñoz	D	1	Antonio Muñoz (1, D)
Laura M. Murphy	D	28	Laura M. Murphy (28, D)
Cristina H. Pacione-Zayas	D	20	Cristina H. Pacione-Zayas (20, D)
Diane Pappas	D	23	Diane Pappas (23, D)
Robert Peters	D	13	Robert Peters (13, D)
Jason Plummer	R	54	Jason Plummer (54, R)
Sue Rezin	R	38	Sue Rezin (38, R)
Chapin Rose	R	51	Chapin Rose (51, R)
Mike Simmons	D	7	Mike Simmons (7, D)
Elgie R. Sims, Jr.	D	17	Elgie R. Sims, Jr. (17, D)
Steve Stadelman	D	34	Steve Stadelman (34, D)
Brian W. Stewart	R	45	Brian W. Stewart (45, R)
Win Stoller	R	37	Win Stoller (37, R)
Dave Syverson	R	35	Dave Syverson (35, R)
Kris Tharp	D	56	Kris Tharp (56, D)
Jil Tracy	R	47	Jil Tracy (47, R)
Doris Turner	D	48	Doris Turner (48, D)
Sally J. Turner	R	44	Sally J. Turner (44, R)
Patricia Van Pelt	D	5	Patricia Van Pelt (5, D)
Karina Villa	D	25	Karina Villa (25, D)
Celina Villanueva	D	11	Celina Villanueva (11, D)
Ram Villivalam	D	8	Ram Villivalam (8, D)
Craig Wilcox	R	32	Craig Wilcox (32, R)
