	name	district	supports_ceja
0	Aaron M. Ortiz	1	True
1	Adam Niemerg	109	False
2	Amy Elik	111	False
3	Amy Grant	42	False
4	Andrew S. Chesney	89	False
5	Angelica Guerrero-Cuellar	22	False
6	Ann M. Williams	11	True
7	Anna Moeller	43	True
8	Anne Stava-Murray	81	True
9	Anthony DeLuca	80	True
10	Avery Bourne	95	False
11	Barbara Hernandez	83	True
12	Blaine Wilhour	107	False
13	Bob Morgan	58	True
14	Brad Halbrook	102	False
15	Bradley Stephens	20	False
16	C.D. Davidsmeyer	100	False
17	Camille Y. Lilly	78	False
18	Carol Ammons	103	True
19	Charles Meier	108	False
20	Chris Bos	51	False
21	Chris Miller	110	False
22	Curtis J. Tarver, II	25	True
23	Cyril Nichols	32	False
24	Dagmara Avelar	85	False
25	Dan Brady	105	False
26	Dan Caulkins	101	False
27	Dan Ugaste	65	False
28	Daniel Didech	59	True
29	Daniel Swanson	74	False
30	Dave Severin	117	False
31	Dave Vella	68	False
32	David A. Welter	75	False
33	David Friess	116	False
34	Deanne M. Mazzochi	47	False
35	Deb Conroy	46	True
36	Debbie Meyers-Martin	38	True
37	Delia C. Ramirez	4	True
38	Denyse Wang Stoneback	16	False
39	Edgar Gonzalez, Jr.	21	True
40	Elizabeth Hernandez	24	True
41	Emanuel Chris Welch	7	True
42	Eva Dina Delgado	3	False
43	Frances Ann Hurley	35	True
44	Fred Crespo	44	False
45	Greg Harris	13	False
46	Jackie Haas	79	False
47	Jaime M. Andrade, Jr.	40	True
48	Janet Yang Rohr	41	False
49	Jawaharial Williams	10	True
50	Jay Hoffman	113	False
51	Jeff Keicher	70	False
52	Jehan Gordon-Booth	92	False
53	Jennifer Gong-Gershowitz	17	True
54	Jim Durkin	82	False
55	Joe Sosnowski	69	False
56	Jonathan Carroll	57	True
57	Joyce Mason	61	True
58	Justin Slaughter	27	True
59	Kambium Buckner	26	True
60	Kathleen Willis	77	True
61	Katie Stuart	112	False
62	Keith P. Sommer	88	False
63	Keith R. Wheeler	50	False
64	Kelly M. Burke	36	True
65	Kelly M. Cassidy	14	True
66	La Shawn K. Ford	8	False
67	LaToya Greenwood	114	False
68	Lakesia Collins	9	True
69	Lamont J. Robinson, Jr.	5	True
70	Lance Yednock	76	False
71	Lawrence Walsh, Jr.	86	True
72	Lindsey LaPointe	19	True
73	Marcus C. Evans, Jr.	33	False
74	Margaret Croke	12	False
75	Mark Batinick	97	False
76	Mark L. Walker	53	True
77	Mark Luft	91	False
78	Martin J. Moylan	55	True
79	Martin McLaughlin	52	False
80	Mary E. Flowers	31	False
81	Maura Hirschauer	49	False
82	Maurice A. West, II	67	True
83	Michael Halpin	72	True
84	Michael J. Zalewski	23	True
85	Michael Kelly	15	False
86	Michael T. Marron	104	False
87	Michelle Mussman	56	True
88	Natalie A. Manley	98	True
89	Nicholas K. Smith	34	True
90	Norine K. Hammond	93	False
91	Patrick Windhorst	118	False
92	Paul Jacobs	115	False
93	Randy E. Frese	94	False
94	Rita Mayfield	60	True
95	Robert Rita	28	True
96	Robyn Gabel	18	True
97	Ryan Spain	73	False
98	Sam Yingling	62	True
99	Sandra Hamilton	99	False
100	Seth Lewis	45	False
101	Sonya M. Harper	6	True
102	Stephanie A. Kifowit	84	False
103	Steven Reick	63	False
104	Sue Scherer	96	False
105	Suzanne Ness	66	False
106	Terra Costa Howard	48	True
107	Thaddeus Jones	29	False
108	Theresa Mah	2	True
109	Thomas M. Bennett	106	False
110	Thomas Morrison	54	False
111	Tim Butler	87	False
112	Tim Ozinga	37	False
113	Tom Demmer	90	False
114	Tom Weber	64	False
115	Tony McCombie	71	False
116	Will Guzzardi	39	True
117	William Davis	30	False
