
	name	district	supports_ceja
0	Adriane Johnson	30	True
1	Ann Gillespie	27	True
2	Antonio Muñoz	1	True
3	Bill Cunningham	18	True
4	Brian W. Stewart	45	False
5	Celina Villanueva	11	True
6	Chapin Rose	51	False
7	Christopher Belt	57	False
8	Craig Wilcox	32	False
9	Cristina Castro	22	True
10	Cristina H. Pacione-Zayas	20	False
11	Dale Fowler	59	False
12	Dan McConchie	26	False
13	Darren Bailey	55	False
14	Dave Syverson	35	False
15	David Koehler	46	True
16	Diane Pappas	23	False
17	Don Harmon	39	False
18	Donald P. DeWitte	33	False
19	Doris Turner	48	False
20	Elgie R. Sims, Jr.	17	True
21	Emil Jones, III	14	True
22	Eric Mattson	43	False
23	Jacqueline Y. Collins	16	True
24	Jason A. Barickman	53	False
25	Jason Plummer	54	False
26	Jil Tracy	47	False
27	John F. Curran	41	False
28	Julie A. Morrison	29	True
29	Karina Villa	25	False
30	Kimberly A. Lightford	4	True
31	Kris Tharp	56	False
32	Laura Ellman	21	True
33	Laura Fine	9	True
34	Laura M. Murphy	28	True
35	Linda Holmes	42	False
36	Mattie Hunter	3	True
37	Meg Loughran Cappel	49	False
38	Melinda Bush	31	True
39	Michael E. Hastings	19	True
40	Mike Simmons	7	False
41	Napoleon Harris, III	15	True
42	Neil Anderson	36	False
43	Omar Aquino	2	True
44	Patricia Van Pelt	5	True
45	Patrick J. Joyce	40	False
46	Ram Villivalam	8	True
47	Robert F. Martwick	10	True
48	Robert Peters	13	True
49	Sally J. Turner	44	False
50	Sara Feigenholtz	6	True
51	Scott M. Bennett	52	True
52	Steve McClure	50	False
53	Steve Stadelman	34	True
54	Steven M. Landek	12	False
55	Sue Rezin	38	False
56	Suzy Glowiak Hilton	24	False
57	Terri Bryant	58	False
58	Win Stoller	37	False
