name_raw	vote	name
Rep. Ammons, Carol [D]	Yea	Carol Ammons
Rep. Andrade Jr., Jaime M. [D]	Yea	Jaime M. Andrade, Jr.
"Rep. Avelar, Dagmara ""Dee"" [D]"	Yea	Dagmara Avelar
Rep. Batinick, Mark [R]	Nay	Mark Batinick
Rep. Bennett, Thomas M. [R]	Yea	Thomas M. Bennett
Rep. Bos, Chris [R]	Nay	Chris Bos
Rep. Bourne, Avery [R]	Nay	Avery Bourne
Rep. Brady, Dan [R]	Nay	Dan Brady
Rep. Buckner, Kambium [D]	Yea	Kambium Buckner
Rep. Burke, Kelly M. [D]	Yea	Kelly M. Burke
Rep. Butler, Timothy J. [R]	Nay	Tim Butler
Rep. Carroll, Jonathan [D]	Yea	Jonathan Carroll
Rep. Cassidy, Kelly M. [D]	Yea	Kelly M. Cassidy
Rep. Caulkins, Dan [R]	Nay	Dan Caulkins
Rep. Chesney, Andrew S. [R]	Nay	Andrew S. Chesney
Rep. Collins, Lakesia [D]	Yea	Lakesia Collins
"Rep. Conroy, Deborah ""Deb"" Okeefe [D]"	Yea	Deb Conroy
Rep. Costa Howard, Terra [D]	Yea	Terra Costa Howard
Rep. Crespo, Fred [D]	Yea	Fred Crespo
Rep. Croke, Margaret Noble [D]	Yea	Margaret Croke
Rep. D'Amico, John C. [D]	Yea	Michael Kelly
"Rep. Davidsmeyer, Christopher ""Cd"" D. [R]"	Nay	C.D. Davidsmeyer
"Rep. Davis, William ""Will"" [D]"	Yea	William Davis
Rep. DeLuca, Anthony [D]	Yea	Anthony DeLuca
Rep. Demmer, Tom [R]	Yea	Tom Demmer
Rep. Didech, Daniel [D]	Yea	Daniel Didech
Rep. Dina Delgado, Eva [D]	Yea	Eva Dina Delgado
"Rep. Durkin, James ""Jim"" B. [R]"	Nay	Jim Durkin
Rep. Elik, Amy [R]	Nay	Amy Elik
Rep. Evans Jr., Marcus C. [D]	Yea	Marcus C. Evans, Jr.
Rep. Flowers, Mary E. [D]	Nay	Mary E. Flowers
Rep. Ford, LaShawn K. [D]	Yea	La Shawn K. Ford
Rep. Friess, David [R]	Nay	David Friess
Rep. Gabel, Robyn [D]	Yea	Robyn Gabel
Rep. Gong-Gershowitz, Jennifer [D]	Yea	Jennifer Gong-Gershowitz
Rep. Gonzalez Jr., Edgar [D]	Yea	Edgar Gonzalez, Jr.
Rep. Gordon, Jehan A. [D]	Yea	Jehan Gordon-Booth
Rep. Grant, Amy L. [R]	Nay	Amy Grant
Rep. Greenwood, Latoya N. [D]	Yea	LaToya Greenwood
Rep. Guerrero-Cuellar, Angelica J. [D]	Yea	Angelica Guerrero-Cuellar
Rep. Guzzardi, Will [D]	Yea	Will Guzzardi
Rep. Haas, Jackie [R]	Yea	Jackie Haas
Rep. Halbrook, Brad [R]	Nay	Brad Halbrook
Rep. Halpin, Michael W. [D]	Yea	Michael Halpin
Rep. Hammond, Norine K. [R]	Nay	Norine K. Hammond
Rep. Harper, Sonya M. [D]	Yea	Sonya M. Harper
"Rep. Harris, Gregory ""Greg"" S. [D]"	Yea	Greg Harris
Rep. Hernandez, Barbara [D]	Yea	Barbara Hernandez
"Rep. Hernandez, Elizabeth ""Lisa"" [D]"	Yea	Elizabeth Hernandez
Rep. Hirschauer, Maura [D]	Yea	Maura Hirschauer
Rep. Hoffman, Jay C. [D]	Yea	Jay Hoffman
Rep. Hurley, Frances Ann [D]	Yea	Frances Ann Hurley
Rep. Jacobs, Paul [R]	Nay	Paul Jacobs
Rep. Jones, Thaddeus [D]	Yea	Thaddeus Jones
Rep. Keicher, Jeff [R]	Yea	Jeff Keicher
Rep. Kifowit, Stephanie A. [D]	Yea	Stephanie A. Kifowit
Rep. LaPointe, Lindsey [D]	Yea	Lindsey LaPointe
Rep. Lewis, Seth [R]	Yea	Seth Lewis
Rep. Lilly, Camille [D]	Yea	Camille Y. Lilly
Rep. Luft, Mark A. [R]	Yea	Mark Luft
Rep. Mah, Theresa [D]	Yea	Theresa Mah
Rep. Manley, Natalie A. [D]	Yea	Natalie A. Manley
Rep. Marron, Michael T. [R]	Nay	Michael T. Marron
Rep. Mason, Joyce [D]	Yea	Joyce Mason
Rep. Mayfield, Rita [D]	Yea	Rita Mayfield
Rep. Mazzochi, Deanne Marie [R]	Nay	Deanne M. Mazzochi
Rep. McCombie, Tony M. [R]	Yea	Tony McCombie
Rep. McLaughlin, Martin [R]	Yea	Martin McLaughlin
