name_raw	score
Neil Anderson	53
Omar Aquino	100
Darren Bailey	53
Jason A. Barickman	60
Christopher Belt	93
Scott M. Bennett	73
Terri Bryant	53
Melinda Bush	100
Cristina Castro	100
Jacqueline Y. Collins	53
John Connor	80
Rachelle Crowe	47
Bill Cunningham	87
John F. Curran	53
Donald P. DeWitte	47
Laura Ellman	100
Sara Feigenholtz	100
Laura Fine	100
Dale Fowler	67
Ann Gillespie	100
Suzy Glowiak Hilton	100
Don Harmon	87
Napoleon Harris, III	87
Michael E. Hastings	80
Linda Holmes	87
Mattie Hunter	93
Adriane Johnson	100
Emil Jones, III	67
Patrick J. Joyce	67
David Koehler	100
Steven M. Landek	67
Kimberly A. Lightford	87
Meg Loughran Cappel	87
Robert F. Martwick	100
Steve McClure	53
Dan McConchie	67
Julie A. Morrison	100
Antonio Muñoz	87
Laura M. Murphy	73
Cristina H. Pacione-Zayas	100
Diane Pappas	100
Robert Peters	100
Jason Plummer	47
Sue Rezin	53
Chapin Rose	60
Mike Simmons	100
Elgie R. Sims, Jr.	87
Steve Stadelman	87
Brian W. Stewart	33
Win Stoller	53
Dave Syverson	53
Jil Tracy	60
Doris Turner	73
Sally J. Turner	60
Patricia Van Pelt	80
Karina Villa	100
Celina Villanueva	100
Ram Villivalam	100
Craig Wilcox	47
