name_raw	score	name	district
Carol Ammons	89.0	Carol Ammons	103
Jaime M. Andrade, Jr.	100.0	Jaime M. Andrade, Jr.	40
Dagmara Avelar	100.0	Dagmara Avelar	85
Mark Batinick	53.0	Mark Batinick	97
Thomas M. Bennett	53.0	Thomas M. Bennett	106
Chris Bos	53.0	Chris Bos	51
Avery Bourne	47.0	Avery Bourne	95
Dan Brady	57.0	Dan Brady	105
Kambium Buckner	100.0	Kambium Buckner	26
Kelly M. Burke	89.0	Kelly M. Burke	36
Tim Butler	50.0	Tim Butler	87
Jonathan Carroll	100.0	Jonathan Carroll	57
Kelly M. Cassidy	100.0	Kelly M. Cassidy	14
Dan Caulkins	42.0	Dan Caulkins	101
Andrew S. Chesney	32.0	Andrew S. Chesney	89
Lakesia Collins	89.0	Lakesia Collins	9
Deb Conroy	100.0	Deb Conroy	46
Terra Costa Howard	100.0	Terra Costa Howard	48
Fred Crespo	83.0	Fred Crespo	44
Margaret Croke	100.0	Margaret Croke	12
C.D. Davidsmeyer	37.0	C.D. Davidsmeyer	100
William Davis	95.0	William Davis	30
Eva Dina Delgado	95.0	Eva Dina Delgado	3
Anthony DeLuca	63.0	Anthony DeLuca	80
Tom Demmer	53.0	Tom Demmer	90
Daniel Didech	100.0	Daniel Didech	59
Jim Durkin	58.0	Jim Durkin	82
Amy Elik	53.0	Amy Elik	111
Marcus C. Evans, Jr.	94.0	Marcus C. Evans, Jr.	33
Mary E. Flowers	100.0	Mary E. Flowers	31
La Shawn K. Ford	100.0	La Shawn K. Ford	8
Randy E. Frese	47.0	Randy E. Frese	94
David Friess	42.0	David Friess	116
Robyn Gabel	100.0	Robyn Gabel	18
Jennifer Gong-Gershowitz	100.0	Jennifer Gong-Gershowitz	17
Edgar Gonzalez, Jr.	100.0	Edgar Gonzalez, Jr.	21
Jehan Gordon-Booth	95.0	Jehan Gordon-Booth	92
Amy Grant	42.0	Amy Grant	42
LaToya Greenwood	89.0	LaToya Greenwood	114
Angelica Guerrero-Cuellar	95.0	Angelica Guerrero-Cuellar	22
Will Guzzardi	100.0	Will Guzzardi	39
Jackie Haas	58.0	Jackie Haas	79
Brad Halbrook	33.0	Brad Halbrook	102
Michael Halpin	79.0	Michael Halpin	72
Sandra Hamilton	56.0	Sandra Hamilton	99
Norine K. Hammond	47.0	Norine K. Hammond	93
Sonya M. Harper	100.0	Sonya M. Harper	6
Greg Harris	100.0	Greg Harris	13
Elizabeth Hernandez	94.0	Elizabeth Hernandez	24
Barbara Hernandez	100.0	Barbara Hernandez	83
Maura Hirschauer	100.0	Maura Hirschauer	49
Jay Hoffman	84.0	Jay Hoffman	113
Frances Ann Hurley	71.0	Frances Ann Hurley	35
Paul Jacobs	42.0	Paul Jacobs	115
Thaddeus Jones	83.0	Thaddeus Jones	29
Jeff Keicher	58.0	Jeff Keicher	70
Michael Kelly	84.0	Michael Kelly	15
Stephanie A. Kifowit	100.0	Stephanie A. Kifowit	84
Lindsey LaPointe	100.0	Lindsey LaPointe	19
Seth Lewis	58.0	Seth Lewis	45
Camille Y. Lilly	94.0	Camille Y. Lilly	78
Mark Luft	58.0	Mark Luft	91
Theresa Mah	100.0	Theresa Mah	2
Natalie A. Manley	84.0	Natalie A. Manley	98
Michael T. Marron	47.0	Michael T. Marron	104
Joyce Mason	100.0	Joyce Mason	61
Rita Mayfield	100.0	Rita Mayfield	60
Deanne M. Mazzochi	44.0	Deanne M. Mazzochi	47
Tony McCombie	53.0	Tony McCombie	71
Martin McLaughlin	50.0	Martin McLaughlin	52
Charles Meier	40.0	Charles Meier	108
Debbie Meyers-Martin	94.0	Debbie Meyers-Martin	38
Chris Miller	25.0	Chris Miller	110
Anna Moeller	100.0	Anna Moeller	43
Bob Morgan	100.0	Bob Morgan	58
Thomas Morrison	41.0	Thomas Morrison	54
Martin J. Moylan	89.0	Martin J. Moylan	55
Michelle Mussman	100.0	Michelle Mussman	56
Suzanne Ness	100.0	Suzanne Ness	66
Cyril Nichols	95.0	Cyril Nichols	32
Adam Niemerg	37.0	Adam Niemerg	109
Aaron M. Ortiz	100.0	Aaron M. Ortiz	1
Tim Ozinga	29.0	Tim Ozinga	37
Delia C. Ramirez	100.0	Delia C. Ramirez	4
Steven Reick	53.0	Steven Reick	63
Robert Rita	84.0	Robert Rita	28
Lamont J. Robinson, Jr.	86.0	Lamont J. Robinson, Jr.	5
Sue Scherer	94.0	Sue Scherer	96
Dave Severin	47.0	Dave Severin	117
Justin Slaughter	100.0	Justin Slaughter	27
Nicholas K. Smith	100.0	Nicholas K. Smith	34
Keith P. Sommer	50.0	Keith P. Sommer	88
Joe Sosnowski	36.0	Joe Sosnowski	69
Ryan Spain	63.0	Ryan Spain	73
Anne Stava-Murray	100.0	Anne Stava-Murray	81
Bradley Stephens	53.0	Bradley Stephens	20
Denyse Wang Stoneback	100.0	Denyse Wang Stoneback	16
Katie Stuart	79.0	Katie Stuart	112
Daniel Swanson	47.0	Daniel Swanson	74
Curtis J. Tarver, II	89.0	Curtis J. Tarver, II	25
Dan Ugaste	41.0	Dan Ugaste	65
Dave Vella	79.0	Dave Vella	68
Mark L. Walker	100.0	Mark L. Walker	53
Lawrence Walsh, Jr.	74.0	Lawrence Walsh, Jr.	86
Tom Weber	42.0	Tom Weber	64
Emanuel Chris Welch	100.0	Emanuel Chris Welch	7
David A. Welter	54.0	David A. Welter	75
Maurice A. West, II	100.0	Maurice A. West, II	67
Keith R. Wheeler	58.0	Keith R. Wheeler	50
Blaine Wilhour	32.0	Blaine Wilhour	107
Jawaharial Williams	89.0	Jawaharial Williams	10
Ann M. Williams	100.0	Ann M. Williams	11
Kathleen Willis	100.0	Kathleen Willis	77
Patrick Windhorst	47.0	Patrick Windhorst	118
Janet Yang Rohr	100.0	Janet Yang Rohr	41
Lance Yednock	84.0	Lance Yednock	76
Sam Yingling	100.0	Sam Yingling	62
Michael J. Zalewski	100.0	Michael J. Zalewski	23
