name_raw	score	name	district
Neil Anderson	53	Neil Anderson	36
Omar Aquino	100	Omar Aquino	2
Darren Bailey	53	Darren Bailey	55
Jason A. Barickman	60	Jason A. Barickman	53
Christopher Belt	93	Christopher Belt	57
Scott M. Bennett	73	Scott M. Bennett	52
Terri Bryant	53	Terri Bryant	58
Melinda Bush	100	Melinda Bush	31
Cristina Castro	100	Cristina Castro	22
Jacqueline Y. Collins	53	Jacqueline Y. Collins	16
John Connor	80	Eric Mattson	43
Rachelle Crowe	47	Kris Tharp	56
Bill Cunningham	87	Bill Cunningham	18
John F. Curran	53	John F. Curran	41
Donald P. DeWitte	47	Donald P. DeWitte	33
Laura Ellman	100	Laura Ellman	21
Sara Feigenholtz	100	Sara Feigenholtz	6
Laura Fine	100	Laura Fine	9
Dale Fowler	67	Dale Fowler	59
Ann Gillespie	100	Ann Gillespie	27
Suzy Glowiak Hilton	100	Suzy Glowiak Hilton	24
Don Harmon	87	Don Harmon	39
Napoleon Harris, III	87	Napoleon Harris, III	15
Michael E. Hastings	80	Michael E. Hastings	19
Linda Holmes	87	Linda Holmes	42
Mattie Hunter	93	Mattie Hunter	3
Adriane Johnson	100	Adriane Johnson	30
Emil Jones, III	67	Emil Jones, III	14
Patrick J. Joyce	67	Patrick J. Joyce	40
David Koehler	100	David Koehler	46
Steven M. Landek	67	Steven M. Landek	12
Kimberly A. Lightford	87	Kimberly A. Lightford	4
Meg Loughran Cappel	87	Meg Loughran Cappel	49
Robert F. Martwick	100	Robert F. Martwick	10
Steve McClure	53	Steve McClure	50
Dan McConchie	67	Dan McConchie	26
Julie A. Morrison	100	Julie A. Morrison	29
Antonio Muñoz	87	Antonio Muñoz	1
Laura M. Murphy	73	Laura M. Murphy	28
Cristina H. Pacione-Zayas	100	Cristina H. Pacione-Zayas	20
Diane Pappas	100	Diane Pappas	23
Robert Peters	100	Robert Peters	13
Jason Plummer	47	Jason Plummer	54
Sue Rezin	53	Sue Rezin	38
Chapin Rose	60	Chapin Rose	51
Mike Simmons	100	Mike Simmons	7
Elgie R. Sims, Jr.	87	Elgie R. Sims, Jr.	17
Steve Stadelman	87	Steve Stadelman	34
Brian W. Stewart	33	Brian W. Stewart	45
Win Stoller	53	Win Stoller	37
Dave Syverson	53	Dave Syverson	35
Jil Tracy	60	Jil Tracy	47
Doris Turner	73	Doris Turner	48
Sally J. Turner	60	Sally J. Turner	44
Patricia Van Pelt	80	Patricia Van Pelt	5
Karina Villa	100	Karina Villa	25
Celina Villanueva	100	Celina Villanueva	11
Ram Villivalam	100	Ram Villivalam	8
Craig Wilcox	47	Craig Wilcox	32
