name	bills	committees	district	party
Carol Ammons	Bills	Committees	103	D
Jaime M. Andrade, Jr.	Bills	Committees	40	D
Dagmara Avelar	Bills	Committees	85	D
Mark Batinick	Bills	Committees	97	R
Thomas M. Bennett	Bills	Committees	106	R
Chris Bos	Bills	Committees	51	R
Avery Bourne	Bills	Committees	95	R
Dan Brady	Bills	Committees	105	R
Kambium Buckner	Bills	Committees	26	D
Kelly M. Burke	Bills	Committees	36	D
Tim Butler	Bills	Committees	87	R
Jonathan Carroll	Bills	Committees	57	D
Kelly M. Cassidy	Bills	Committees	14	D
Dan Caulkins	Bills	Committees	101	R
Andrew S. Chesney	Bills	Committees	89	R
Lakesia Collins	Bills	Committees	9	D
Deb Conroy	Bills	Committees	46	D
Terra Costa Howard	Bills	Committees	48	D
Fred Crespo	Bills	Committees	44	D
Margaret Croke	Bills	Committees	12	D
C.D. Davidsmeyer	Bills	Committees	100	R
William Davis	Bills	Committees	30	D
Eva Dina Delgado	Bills	Committees	3	D
Anthony DeLuca	Bills	Committees	80	D
Tom Demmer	Bills	Committees	90	R
Daniel Didech	Bills	Committees	59	D
Jim Durkin	Bills	Committees	82	R
Amy Elik	Bills	Committees	111	R
Marcus C. Evans, Jr.	Bills	Committees	33	D
Mary E. Flowers	Bills	Committees	31	D
La Shawn K. Ford	Bills	Committees	8	D
Randy E. Frese	Bills	Committees	94	R
David Friess	Bills	Committees	116	R
Robyn Gabel	Bills	Committees	18	D
Jennifer Gong-Gershowitz	Bills	Committees	17	D
Edgar Gonzalez, Jr.	Bills	Committees	21	D
Jehan Gordon-Booth	Bills	Committees	92	D
Amy Grant	Bills	Committees	42	R
LaToya Greenwood	Bills	Committees	114	D
Angelica Guerrero-Cuellar	Bills	Committees	22	D
Will Guzzardi	Bills	Committees	39	D
Jackie Haas	Bills	Committees	79	R
Brad Halbrook	Bills	Committees	102	R
Michael Halpin	Bills	Committees	72	D
Sandra Hamilton	Bills	Committees	99	R
Norine K. Hammond	Bills	Committees	93	R
Sonya M. Harper	Bills	Committees	6	D
Greg Harris	Bills	Committees	13	D
Barbara Hernandez	Bills	Committees	83	D
Elizabeth Hernandez	Bills	Committees	24	D
Maura Hirschauer	Bills	Committees	49	D
Jay Hoffman	Bills	Committees	113	D
Frances Ann Hurley	Bills	Committees	35	D
Paul Jacobs	Bills	Committees	115	R
Thaddeus Jones	Bills	Committees	29	D
Jeff Keicher	Bills	Committees	70	R
Michael Kelly	Bills	Committees	15	D
Stephanie A. Kifowit	Bills	Committees	84	D
Lindsey LaPointe	Bills	Committees	19	D
Seth Lewis	Bills	Committees	45	R
Camille Y. Lilly	Bills	Committees	78	D
Mark Luft	Bills	Committees	91	R
Theresa Mah	Bills	Committees	2	D
Natalie A. Manley	Bills	Committees	98	D
Michael T. Marron	Bills	Committees	104	R
Joyce Mason	Bills	Committees	61	D
Rita Mayfield	Bills	Committees	60	D
Deanne M. Mazzochi	Bills	Committees	47	R
Tony McCombie	Bills	Committees	71	R
Martin McLaughlin	Bills	Committees	52	R
Charles Meier	Bills	Committees	108	R
Debbie Meyers-Martin	Bills	Committees	38	D
Chris Miller	Bills	Committees	110	R
Anna Moeller	Bills	Committees	43	D
Bob Morgan	Bills	Committees	58	D
Thomas Morrison	Bills	Committees	54	R
Martin J. Moylan	Bills	Committees	55	D
Michelle Mussman	Bills	Committees	56	D
Suzanne Ness	Bills	Committees	66	D
Cyril Nichols	Bills	Committees	32	D
Adam Niemerg	Bills	Committees	109	R
Aaron M. Ortiz	Bills	Committees	1	D
Tim Ozinga	Bills	Committees	37	R
Delia C. Ramirez	Bills	Committees	4	D
Steven Reick	Bills	Committees	63	R
Robert Rita	Bills	Committees	28	D
Lamont J. Robinson, Jr.	Bills	Committees	5	D
Sue Scherer	Bills	Committees	96	D
Dave Severin	Bills	Committees	117	R
Justin Slaughter	Bills	Committees	27	D
Nicholas K. Smith	Bills	Committees	34	D
Keith P. Sommer	Bills	Committees	88	R
Joe Sosnowski	Bills	Committees	69	R
Ryan Spain	Bills	Committees	73	R
Anne Stava-Murray	Bills	Committees	81	D
Bradley Stephens	Bills	Committees	20	R
Denyse Wang Stoneback	Bills	Committees	16	D
Katie Stuart	Bills	Committees	112	D
Daniel Swanson	Bills	Committees	74	R
Curtis J. Tarver, II	Bills	Committees	25	D
Dan Ugaste	Bills	Committees	65	R
Dave Vella	Bills	Committees	68	D
Mark L. Walker	Bills	Committees	53	D
Lawrence Walsh, Jr.	Bills	Committees	86	D
Tom Weber	Bills	Committees	64	R
Emanuel Chris Welch	Bills	Committees	7	D
David A. Welter	Bills	Committees	75	R
Maurice A. West, II	Bills	Committees	67	D
Keith R. Wheeler	Bills	Committees	50	R
Blaine Wilhour	Bills	Committees	107	R
Ann M. Williams	Bills	Committees	11	D
Jawaharial Williams	Bills	Committees	10	D
Kathleen Willis	Bills	Committees	77	D
Patrick Windhorst	Bills	Committees	118	R
Janet Yang Rohr	Bills	Committees	41	D
Lance Yednock	Bills	Committees	76	D
Sam Yingling	Bills	Committees	62	D
Michael J. Zalewski	Bills	Committees	23	D
